id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
914048118740673692,,88603284,,,,19.461111032437373,-99.1628255333661,,400.0,3.0,15.0,,0.82,3.0,364,7.0,
914091413725920783,,32799848,,,,19.37803,-99.25648,,1228.0,1.0,40.0,,2.19,2.0,166,23.0,
914117405669147544,,41039465,,,,19.4351154,-99.2110857,,899.0,2.0,62.0,,3.59,1.0,64,47.0,
914365120800146696,,465366549,,,,19.409871738224773,-99.17632794871652,,1071.0,1.0,16.0,,0.86,2.0,352,6.0,
914441339620209261,,35203230,,,,19.44421,-99.16164,,980.0,1.0,2.0,,0.58,9.0,179,2.0,
914443037806439902,,129282902,,,,19.41736,-99.10873,,,4.0,12.0,,0.69,17.0,0,9.0,
914495477065940922,,513191084,,,,19.43181,-99.167656,,599.0,1.0,22.0,,1.19,9.0,365,6.0,
914523838746287651,,116759375,,,,19.40897,-99.1627,,340.0,1.0,24.0,,1.3,2.0,128,5.0,
914527991890951737,,520201222,,,,19.43365,-99.2117975,,1710.0,2.0,6.0,,0.37,1.0,364,4.0,
914558411178940193,,22825574,,,,19.454007705288145,-99.1378479078412,,838.0,2.0,88.0,,4.84,1.0,51,46.0,
914589990708390292,,520220852,,,,19.42958831950436,-99.14806606322936,,,3.0,1.0,,0.05,1.0,0,0.0,
914602087822670234,,503111214,,,,19.4233917,-99.1655817,,2383.0,1.0,150.0,,,3.0,365,73.0,
914688730350775895,,91872817,,,,19.407395,-99.157134,,460.0,1.0,62.0,,3.33,2.0,356,28.0,
915066818182175159,,520100088,,,,19.43391,-99.18704,,,1.0,0.0,,,1.0,365,0.0,
915222587103599439,,520361268,,,,19.42767664814544,-99.16907325645788,,1300.0,3.0,19.0,,1.04,1.0,259,7.0,
915235206355426562,,520175203,,,,19.3856695,-99.1519177,,1490.0,1.0,27.0,,1.73,9.0,349,25.0,
915378451955007823,,494717470,,,,19.33484,-99.150766,,699.0,2.0,44.0,,2.51,1.0,359,28.0,
915434594838876634,,463780302,,,,19.409924,-99.1798299,,,1.0,29.0,,1.64,2.0,0,20.0,
915896681817809561,,43301845,,,,19.411427527688826,-99.17322841534424,,4834.0,2.0,56.0,,3.08,3.0,178,40.0,
915958089115133887,,520524963,,,,19.436700688465987,-99.15551556853607,,804.0,2.0,37.0,,2.01,1.0,134,21.0,
916046154343307422,,512735236,,,,19.356424232564702,,,300.0,1.0,4.0,,0.22,1.0,365,0.0,
916131415267188312,,467280556,,,,19.410795,-99.08744,,700.0,1.0,39.0,,2.34,2.0,89,19.0,
916241760522678794,,320277198,,,,19.4688517,-99.1597557,,390.0,3.0,13.0,,0.87,1.0,178,9.0,
916250658520717087,,520584992,,,,19.436930345235943,-99.15071118857313,,2887.0,3.0,49.0,,2.7,1.0,0,27.0,
916568568882667094,,6726591,,,,19.4155097,-99.1624374,,1236.0,2.0,14.0,,0.76,3.0,293,5.0,
916695455895087556,,144325663,,,,19.454849993224283,-99.14352787314522,,368.0,2.0,28.0,,1.52,7.0,77,2.0,
916805324107642504,,474873690,,,,19.4305109,-99.2022128,,,15.0,13.0,,0.72,17.0,0,6.0,
916811120259676000,,436302576,,,,19.40988,-99.16319,,515.0,1.0,6.0,,0.32,1.0,364,0.0,
916827657577590893,,99929913,,,,19.3638571,-99.1519894,,579.0,5.0,5.0,,0.27,1.0,89,0.0,
916893332448625117,,43522822,,,,19.43342,-99.13432,,2089.0,2.0,51.0,,5.48,8.0,263,51.0,
916924865953066476,,23455776,,,,19.4163086,-99.1740663,,5910.0,3.0,10.0,,0.71,1.0,357,8.0,
917077345862631084,,520785861,,,,19.4269,-99.15264,,2143.0,2.0,43.0,,2.34,1.0,34,24.0,
917111647040649414,,1035184,,,,19.413660144553273,-99.15621346235918,,,1.0,0.0,,,2.0,0,0.0,
917342576268374912,,520857792,,,,,-99.21651067963911,,450.0,1.0,1.0,,0.08,1.0,144,0.0,
917359353236347265,,70187311,,,,19.4340954,-99.153514,,1436.0,2.0,20.0,,1.13,1.0,363,10.0,
917421847893696974,,520175203,,,,19.3856695,-99.1519177,,1692.0,1.0,114.0,,6.98,9.0,364,,
917484989966985198,,101516596,,,,19.42657,-99.15345,,1254.0,2.0,36.0,,2.12,1.0,36,26.0,
917532280748419277,,24202153,,,,19.4425845,-99.1639632,,500.0,1.0,1.0,,0.06,1.0,75,0.0,
917544723874168865,,127082696,,,,19.309936800022037,-99.15878079770556,,270.0,1.0,28.0,,1.52,1.0,360,13.0,
917610427463649438,,463780302,,,,19.409924,-99.1798299,,,1.0,11.0,,0.6,2.0,0,7.0,
917616314049544374,,8006512,,,,19.34787841580202,-99.1605544534165,,939.0,3.0,33.0,,1.89,2.0,81,23.0,
917649785070512739,,325738665,,,,19.4245161,-99.1607182,,1485.0,2.0,43.0,,2.37,1.0,323,28.0,
917675190937735178,,359572428,,,,19.406999,-99.1782199,,,4.0,8.0,,0.47,3.0,0,2.0,
